"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1","2","1","0","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","1","0","0","0","0","1","1","1","1","1","w"
"2","4","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","0","1","1","1","0","1","1","1","1","1","M"
"3","6","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","0","1","1","1","1","0","0","0","1","1","1","1","w"
"4","7","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","0","1","0","1","1","1","0","1","0","1","1","1","1","1","W"
"5","8","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","1","W"
"6","9","1","0","0","1","1","0","1","1","1","1","0","1","1","0","1","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","m"
"7","10","0","0","0","1","0","0","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","0","0","1","1","1","m"
"8","11","1","1","0","1","1","0","0","1","1","1","1","0","0","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","0","0","1","1","0","1","1","1","W"
"9","12","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","0","1","0","0","1","1","1","1","w"
"10","13","0","0","1","1","0","0","1","0","1","1","1","0","0","1","0","0","0","1","1","1","1","1","0","0","0","1","0","1","0","1","0","0","0","1","0","1","w"
"11","15","1","1","0","1","1","1","1","0","1","0","1","1","0","1","1","0","1","1","1","1","0","0","1","1","1","0","0","1","0","1","1","1","0","1","1","0","M"
"12","16","1","0","1","1","0","0","1","1","1","0","1","1","0","1","1","1","0","1","1","1","0","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","m"
"13","17","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","1","0","1","0","1","1","0","1","1","w"
