"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1","8","0","0","0","1","0","1","1","1","1","1","1","0","1","1","1","0","1","1","1","0","0","1","1","1","1","1","0","1","1","1","0","1","1","0","1","1","m"
"2","9","0","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","m"
"3","10","0","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","w"
"4","11","0","0","1","1","0","0","1","0","0","0","0","1","0","1","1","1","0","1","0","1","1","1","0","1","1","0","1","1","1","1","0","1","1","1","1","1","M"
"5","13","1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","0","1","1","1","0","1","1","1","0","1","0","0","1","0","1","0","0","1","0","1","W"
"6","14","0","1","0","0","1","1","0","1","0","0","1","0","0","1","1","0","1","1","1","1","0","0","1","1","0","0","1","1","0","0","0","1","0","0","1","0","m"
"7","15","0","1","1","1","0","1","0","1","1","0","1","1","0","1","1","1","0","1","1","0","0","1","0","1","0","1","0","1","0","0","0","1","1","1","0","1","M"
"8","17","0","1","1","1","1","0","0","1","1","1","1","0","1","1","0","0","1","1","0","0","1","1","0","1","0","1","1","0","1","1","0","1","0","0","1","1","m"
"9","18","0","0","1","1","0","1","0","0","1","0","0","1","1","0","1","1","1","1","1","0","0","1","0","1","1","1","0","0","1","0","0","1","1","1","1","1","m"
"10","19","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","0","1","0","1","1","1","m"
"11","20","0","1","1","1","1","0","0","1","1","0","0","1","0","1","1","0","0","1","0","1","0","1","0","1","0","0","0","1","1","1","0","1","1","1","1","1","W"
"12","21","0","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","0","1","0","1","1","1","0","0","1","0","1","0","1","1","M"
"13","24","0","1","1","1","0","1","0","1","0","0","0","1","0","1","0","1","1","1","1","0","0","1","1","1","0","0","0","1","0","0","0","1","0","1","1","1","m"
"14","26","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","w"
"15","27","1","1","1","1","0","0","1","1","0","1","1","1","1","1","0","1","0","1","1","1","0","1","1","1","0","0","1","1","0","0","1","1","1","1","1","1","W"
"16","29","0","1","0","1","1","0","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","0","1","1","1","0","1","W"
"17","30","0","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","0","1","0","0","0","0","0","1","0","1","1","1","m"
"18","34","0","1","1","1","0","0","1","1","0","1","0","0","1","1","1","0","1","1","1","1","1","0","1","0","0","1","1","1","0","1","0","1","0","1","0","1","m"
"19","36","0","0","1","1","0","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","weiblich"
"20","37","1","1","0","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","0","0","1","0","0","1","1","1","1","1","0","w"
"21","38","1","1","1","1","1","0","1","1","1","0","1","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","1","1","0","0","1","W"
"22","39","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","0","0","0","1","0","1","1","1","1","1","M"
"23","41","0","1","1","1","1","1","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","0","0","1","0","0","0","1","1","1","M"
"24","42","0","1","1","1","1","0","1","1","1","0","0","1","0","1","0","1","0","1","0","1","1","1","0","1","1","0","0","1","0","0","0","1","1","1","1","1","m"
"25","43","0","1","0","1","1","0","0","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1","1","0","1","0","1","0","1","1","1","1","1","W"
"26","44","1","1","0","0","1","1","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","0","0","0","1","0","1","1","0","1","1","M"
"27","47","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","1","0","1","1","1","0","0","1","1","0","0","0","1","1","0","1","0","1","0","W"
"28","48","1","0","0","0","1","1","0","0","1","0","1","1","0","0","0","1","0","0","1","1","1","0","0","1","1","0","0","1","0","1","1","1","1","0","0","0","m"
"29","49","1","0","1","1","1","1","0","1","1","1","1","1","0","1","0","0","0","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","m"
"30","52","0","0","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","0","0","0","1","1","1","0","0","0","1","0","1","1","1","m"
"31","55","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","w"
"32","57","1","0","1","1","1","0","0","1","0","1","1","1","0","1","1","1","1","1","0","0","0","1","1","1","0","1","1","1","0","0","1","1","1","1","0","1","w"
"33","58","1","1","1","1","0","0","1","0","0","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","0","1","1","0","1","1","0","1","0","1","0","1","m"
"34","63","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","m"
"35","66","0","0","1","1","1","1","0","1","0","0","1","1","1","0","1","0","0","1","0","1","0","1","0","1","1","1","0","1","1","1","1","1","0","0","0","1","w"
"36","69","0","1","1","1","0","1","0","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","0","0","1","1","1","1","1","1","1","m"
"37","70","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","0","1","0","0","1","1","1","1","1","M"
"38","73","0","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","m"
"39","74","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","0","1","0","1","1","1","W"
"40","77","0","1","0","0","0","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","0","1","0","1","1","1","1","1","0","1","0","1","1","0","0","1","w"
"41","79","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","0","1","1","0","0","1","0","1","1","1","1","1","m"
"42","80","1","0","1","1","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1","0","1","1","0","1","1","W"
"43","81","1","1","1","0","1","0","1","1","0","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","0","1","W"
"44","82","1","0","1","1","0","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","0","0","0","0","0","M"
"45","83","0","0","0","1","1","1","1","0","0","1","0","0","0","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","0","m"
